"id","spouse_id","couple_id","idwife","idhusband","sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetComputer","assetSmartphone","landOwnedFarmAmount","assetElectricity"
"27B4B144-6C71-7144-9B2C-85885ADB7FAD","0",48,"27B4B144-6C71-7144-9B2C-85885ADB7FAD",NA,0,6,50,288855,54166.66667,2,1,4,0,1,10.8333333333333,2.19512195121951,2.92682926829268,6.66666666666667,5.71428571428571,8.57142857142857,35,1.99170124481328,8.57142857142857,52.2727272727273,25,0,4,9,0,0,0,4,4,0,2,NA,NA,NA,NA,NA,1,1,0,43,NA,0,1,40,1
"27EF362A-067B-3543-928A-AE60C4ECF31C","0",49,"27EF362A-067B-3543-928A-AE60C4ECF31C",NA,0,6,50,195860,90833.33333,4,2,8,0,4,5.90909090909091,4.28571428571429,5.71428571428571,5.45454545454545,10.9090909090909,2.95081967213115,19.0909090909091,3.17880794701987,16.3636363636364,52.2727272727273,17,0,1,0,0,0,0,8,8,0,0,NA,NA,NA,NA,NA,0,0,1,62,NA,0,1,240,1
"283B5033-EC66-2B4A-8615-8E9A30655F95","913E131F-C2BE-194F-BEA7-151CC73634DE",333,"283B5033-EC66-2B4A-8615-8E9A30655F95","913E131F-C2BE-194F-BEA7-151CC73634DE",0,6,75,155135,54250,15,0,5,0,4,8.125,2.19512195121951,2.92682926829268,10,7.5,5.80645161290323,5.1219512195122,2.27488151658768,30,35.9375,12,2,2,0,0,0,0,10,9,0,0,0,0,3600,0,1,0,0,0,57,60,0,1,0,1
"28B3A672-591E-4846-BF5A-2C828590407A","4295CCBD-E4BC-2541-A996-DDA96472C160",111,"4295CCBD-E4BC-2541-A996-DDA96472C160","28B3A672-591E-4846-BF5A-2C828590407A",1,6,100,232325,15000,10,0,4,0,2,5.90909090909091,4.28571428571429,5.71428571428571,20,10.9090909090909,3.52941176470588,13.125,2.65193370165746,30,27.3809523809524,0,0,9,4,0,1,0,4,4,0,0,0,2,3600,0,1,1,2,2,68,68,0,0,0,1
"28B7A251-062E-6E49-8EB0-089AAC96A53A","0",50,"28B7A251-062E-6E49-8EB0-089AAC96A53A",NA,0,5,75,133530,16116.66667,0,0,3,0,0,3.0952380952381,5.625,7.5,1.93548387096774,3.87096774193548,2.53521126760563,6.7741935483871,3.96694214876033,5.80645161290323,18.5483870967742,4,0,9,0,0,0,0,8,1,0,0,NA,NA,NA,NA,NA,1,2,2,56,NA,0,1,3.5,1
"28BC1252-5BD8-9B41-BA64-BFC8F1979A39","0",51,"28BC1252-5BD8-9B41-BA64-BFC8F1979A39",NA,0,6,100,260800,1000,3,2,6,0,2,10.8333333333333,4.28571428571429,5.71428571428571,2.85714285714286,5.71428571428571,5.80645161290323,52.5,3.17880794701987,8.57142857142857,27.3809523809524,110,2,7,0,0,0,0,3,3,0,0,NA,NA,NA,NA,NA,1,1,1,66,NA,0,1,10,1
"28E3CAC7-9AD1-D844-A50E-C44CEA1F2CC9","0",52,"28E3CAC7-9AD1-D844-A50E-C44CEA1F2CC9",NA,0,5,50,295605,49750,2,1,4,0,0,10.8333333333333,4.28571428571429,5.71428571428571,10,20,16.3636363636364,19.0909090909091,3.17880794701987,16.3636363636364,52.2727272727273,1,0,2,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,0,0,0,71,NA,0,0,0,1
"290736E2-AB24-AE45-8CF5-824C39306D66","E3859CC5-6B5B-F34C-80DD-ABAB4BF5B6E3",645,"290736E2-AB24-AE45-8CF5-824C39306D66","E3859CC5-6B5B-F34C-80DD-ABAB4BF5B6E3",0,6,100,141200,12500,9,1,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,10,1.99170124481328,5.80645161290323,18.5483870967742,9,0,0,3,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,71,81,0,0,0,1
"29322BE2-1C9D-3140-9924-8A28325E9963","574323A0-131B-D145-B3BC-C5C4F0154581",161,"29322BE2-1C9D-3140-9924-8A28325E9963","574323A0-131B-D145-B3BC-C5C4F0154581",0,6,75,1075475,30000,0,2,6,0,0,5.90909090909091,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,10,1.99170124481328,30,18.5483870967742,2,0,9,0,1,0,0,6,2,0,0,0,0,900,0,0,1,2,2,32,43,0,1,0,1
"294312E3-F688-5541-8FC1-3AA4B59D5214","DDCB6DBB-0CBD-6D48-BC3E-5BA4617BE50E",618,"DDCB6DBB-0CBD-6D48-BC3E-5BA4617BE50E","294312E3-F688-5541-8FC1-3AA4B59D5214",1,5,75,88570,4750,1,0,2,0,0,8.125,90,1.9672131147541,5.45454545454545,3.87096774193548,5.80645161290323,10,2.65193370165746,16.3636363636364,18.5483870967742,7,1,9,3,0,0,0,5,2,0,0,0,0,300,0,1,1,2,2,55,55,0,0,0,1
"294F5762-7B1B-1B48-9FB7-4B0351397CC8","58E4B147-8434-F542-B601-C6643B68D191",166,"58E4B147-8434-F542-B601-C6643B68D191","294F5762-7B1B-1B48-9FB7-4B0351397CC8",1,6,100,359625,15000,4,1,6,0,1,3.0952380952381,4.28571428571429,5.71428571428571,10,20,5.80645161290323,4.11764705882353,2.65193370165746,30,95.8333333333333,16,9,9,9,1,0,0,10,6,0,0,0,1,3600,0,0,1,2,2,51,51,0,1,0,1
"29A11232-D7E7-C040-A22D-28C5D07B7729","C1C9E27C-4525-E943-8B09-88B531312FCD",519,"C1C9E27C-4525-E943-8B09-88B531312FCD","29A11232-D7E7-C040-A22D-28C5D07B7729",1,6,100,139850,2250,2,0,4,0,0,5.90909090909091,3.46153846153846,4.61538461538461,10,20,5.80645161290323,35,3.17880794701987,30,95.8333333333333,5,0,0,1,0,0,0,10,4,0,0,0,0,600,0,0,1,0,0,83,83,0,0,0,1
