"id","spouse_id","couple_id","idwife","idhusband","sex","religion","skilledWork","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","yearOfBirth","ageAtDeath_w","maritalStatus","mainOccupation_w","edulevel_years_of_education_values_0to19__blank_is_dont_know_w","inschool_w","educationmedium_w","husband_occupation_w","husband_years_education_w","husband_in_school_w","husband_ed_medium_w","relocate_MI_h","institutionloan_vs_other_w","foodSourceNow_h","skilledWork_h","MacArthurLadderPresent_h","MacArthurLadderTelephonePresent_h","listenRadio_h","useInternet_h","yearOfBirth_h","mainOccupation_h","travel_in_bangladesh_h","travel_abroad_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","total_income_h"
"A808FF32-B1A3-4840-A798-3EE6F049672B","87871506-C71E-B044-B892-F06C5FDE19B4",406,"A808FF32-B1A3-4840-A798-3EE6F049672B","87871506-C71E-B044-B892-F06C5FDE19B4",0,"ISLAM",0,1,"all from bazar",220240,6,0,2,"average",5,0,0,20,30,30,20,20,30,45,210,20,30,10,5,1972,0,2,18,12,"No","Bangla",10,12,"No","Bangla",1,0,"all from bazar",0,4,0,0,0,1960,10,11,0,0,0,0,17000
"A8B3C476-3F40-8449-9183-54E1FE168B29","D6816ABC-2D0A-F94A-A3F1-306651363602",589,"A8B3C476-3F40-8449-9183-54E1FE168B29","D6816ABC-2D0A-F94A-A3F1-306651363602",0,"HINDU",0,1,"all from bazar",326625,4,18000,0,"average",3,0,0,10,10,10,5,15,15,10,270,10,15,18,9,1970,0,2,18,9,"No","Bangla",10,0,"0","0",0,1,"all from bazar",0,7,0,0,1,1958,10,6,0,6300,1,1,50000
"A8C6A2B7-7985-DD4C-AC02-2CCE0C6BA6AB","44CE3AC7-7F54-1746-B785-15B6E3C3FE3A",407,"A8C6A2B7-7985-DD4C-AC02-2CCE0C6BA6AB","44CE3AC7-7F54-1746-B785-15B6E3C3FE3A",0,"ISLAM",0,1,"all from bazar",274425,5,36333.33333,2,"average",6,0,1,10,15,15,5942,20,15,2,180,2,15,7,4,1988,0,2,18,5,"No","Bangla",10,6,"No","Bangla",1,0,"all from bazar",0,3,0,0,1,1984,10,5,8,900,0,1,31500
"A8CD1157-39B4-1540-8871-455AA3CF9F25","ADF94E28-6EC0-FC42-BDD7-99E239C6B757",422,"ADF94E28-6EC0-FC42-BDD7-99E239C6B757","A8CD1157-39B4-1540-8871-455AA3CF9F25",1,"ISLAM",0,2,"25 percent from own work",83860,6,10000,0,"less",1,0,0,10,30,30,5,10,30,20,210,10,30,3,4,1965,0,2,18,0,"No","No educaiton",9,0,"No","No educaiton",0,1,"75 percent from own work",0,4,0,0,0,1965,4,6,0,900,0,1,17000
"A8F147EE-1AC4-E848-8D8E-CD37C96DA99B","78DFCDE7-D63D-6E47-96BB-CF0C041120BF",408,"78DFCDE7-D63D-6E47-96BB-CF0C041120BF","A8F147EE-1AC4-E848-8D8E-CD37C96DA99B",1,"ISLAM",0,1,"25 percent from own work",223150,12,80083.33333,8,"less",4,0,0,2,30,30,2,10,10,60,240,10,45,9,15,1951,0,2,18,0,"No","No educaiton",2,0,"No","No educaiton",0,1,"75 percent from own work",0,4,0,0,0,1951,1,6,0,900,0,1,5500
"A8F92D65-58EC-EC43-95C4-140D9F28EA85","FF87020F-7B1C-EE4D-8A25-26E937567A63",765,"A8F92D65-58EC-EC43-95C4-140D9F28EA85","FF87020F-7B1C-EE4D-8A25-26E937567A63",0,"ISLAM",0,3,"25 percent from own work",136250,8,9000,2,"less",2,0,0,10,30,90,15,90,90,90,240,10,90,32,6,1968,0,2,18,2,"No","Bangla",4,0,"No","No educaiton",0,0,"all from bazar",1,4,0,0,0,1963,12,6,0,600,0,1,20000
"A944D40E-CDE8-0D44-8AF4-654A6C61B52D","C43DA728-9272-6E4F-9815-AE734AFE795F",527,"C43DA728-9272-6E4F-9815-AE734AFE795F","A944D40E-CDE8-0D44-8AF4-654A6C61B52D",1,"ISLAM",0,1,"25 percent from own work",225845,5,36000,4,"average",3,0,0,15,30,30,10,40,40,15,180,10,40,8,77,1970,0,2,18,5,"No","Bangla",1,4,"No","Bangla",1,0,"75 percent from own work",0,5,0,0,0,1970,4,6,0,900,1,1,18000
"A95FC79D-92AF-D74C-ABAD-D5FC202EA55B","FEB00500-DF82-1144-A1AA-456B65EC9B48",760,"A95FC79D-92AF-D74C-ABAD-D5FC202EA55B","FEB00500-DF82-1144-A1AA-456B65EC9B48",0,"ISLAM",0,1,"25 percent from own work",375415,9,40083.33333,2,"less",2,0,0,15,5,5,15,50,50,90,240,15,50,10,8,1969,0,2,18,5,"No","Bangla",4,3,"No","Bangla",1,1,"all from bazar",1,2,0,0,0,1962,1,8,0,0,0,1,12000
"A9B055A0-305A-BF46-8BC2-5E4C58E9FD77","0",409,"A9B055A0-305A-BF46-8BC2-5E4C58E9FD77",NA,0,"ISLAM",0,1,"all from bazar",175395,6,31000,3,"more",4,0,3,15,30,30,15,30,30,60,180,15,30,4,1,1965,0,4,18,3,"No","Bangla",1,10,"No","Bangla",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A9E5937A-3446-C64F-A893-789EF13C1781","1BF872DC-7F65-D149-96EB-96F043A488CD",410,"1BF872DC-7F65-D149-96EB-96F043A488CD","A9E5937A-3446-C64F-A893-789EF13C1781",1,"ISLAM",1,1,"75 percent from own work",363725,6,33666.66667,0,"average",5,0,0,5,30,30,15,15,45,15,120,15,15,12,4,1959,0,2,18,9,"No","Bangla",10,9,"No","Bangla",0,0,"75 percent from own work",1,4,0,0,0,1959,9,6,0,0,0,0,26000
"AA24FBB1-7604-FD48-8794-F4BA37CB3E8A","BA374D57-D5E1-D242-A894-AA9EC159FD06",476,"BA374D57-D5E1-D242-A894-AA9EC159FD06","AA24FBB1-7604-FD48-8794-F4BA37CB3E8A",1,"ISLAM",0,1,"all from bazar",196865,13,11200,7,"more",5,0,0,5,30,30,20,60,120,30,120,20,30,10,12,1945,0,2,18,0,"No","No educaiton",0,12,"No","Bangla",0,0,"all from bazar",0,4,0,0,0,1945,11,5,1,0,0,0,23700
"AB345045-1B6C-0442-B099-8825496BBAB7","5D33CC2D-5F50-A940-97AE-48D11F3BAC6D",411,"AB345045-1B6C-0442-B099-8825496BBAB7","5D33CC2D-5F50-A940-97AE-48D11F3BAC6D",0,"ISLAM",0,2,"25 percent from own work",313425,7,7450,11,"less",5,0,3,5,20,20,10,30,30,50,180,10,30,8,5,1956,0,2,18,2,"No","Bangla",1,0,"0","0",0,0,"75 percent from own work",0,5,0,0,1,1947,1,5,0,36000,0,0,17000
"ABDD900B-1AAA-0D4A-B5E2-BE8654C40525","09A1E8E3-FCEA-B448-82D5-66C63802F970",412,"09A1E8E3-FCEA-B448-82D5-66C63802F970","ABDD900B-1AAA-0D4A-B5E2-BE8654C40525",1,"ISLAM",0,1,"all from own work",231675,10,21333.33333,1,"average",5,0,0,5,30,30,5,30,30,5,180,5,60,2,1,1959,0,2,18,0,"No","No educaiton",1,4,"No","Bangla",0,1,"75 percent from own work",0,4,0,0,0,1959,2,6,0,1200,0,1,6500
"AC1A8E24-B879-BE4F-B216-271F33D91DD0","7C18DDB6-745C-9D43-AAF1-4725D46EF7FE",413,"7C18DDB6-745C-9D43-AAF1-4725D46EF7FE","AC1A8E24-B879-BE4F-B216-271F33D91DD0",1,"ISLAM",0,1,"50 percent from own work",276990,6,53000,5,"average",3,0,0,10,40,40,7,10,10,15,240,5,15,8,12,1965,0,2,18,0,"0","0",1,0,"0","0",0,0,"all from own work",1,4,0,0,0,1965,1,5,1,1800,0,1,60000
"AC5D30A1-38FF-6742-AA9D-A35CE0CC7D47","0",414,"AC5D30A1-38FF-6742-AA9D-A35CE0CC7D47",NA,0,"ISLAM",0,5,"all from bazar",72100,10,5000,4,"less",1,0,0,5,30,30,2,10,30,10,240,10,15,12,5,1946,0,2,18,0,"No","No educaiton",0,0,"No","No educaiton",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC8CF075-A9CF-3E43-B6BC-837A215F3F69","0",415,"AC8CF075-A9CF-3E43-B6BC-837A215F3F69",NA,0,"ISLAM",1,3,"all from bazar",111650,6,7000,0,"average",3,0,0,10,20,20,10,10,30,10,150,10,10,15,24,1970,0,4,18,0,"No","No educaiton",9,10,"No","Bangla",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACA78C6B-E06F-AE42-8F60-639850CB04DA","1118D2C0-ABC5-F54F-A68E-3CCE448225C5",416,"ACA78C6B-E06F-AE42-8F60-639850CB04DA","1118D2C0-ABC5-F54F-A68E-3CCE448225C5",0,"ISLAM",1,1,"all from bazar",328000,6,16750,1,"average",5,0,3,10,20,20,5,15,30,5,180,5,15,15,44,1985,0,2,18,10,"No","Bangla",10,14,"No","Bangla",1,0,"all from bazar",0,5,0,0,1,1973,9,11,0,3600,0,1,17900
"ACF0BDCE-A8A0-1649-8898-C8CE58BA1419","443C31F6-BD85-F740-9732-2CA1E4DEF5DB",417,"ACF0BDCE-A8A0-1649-8898-C8CE58BA1419","443C31F6-BD85-F740-9732-2CA1E4DEF5DB",0,"ISLAM",0,2,"all from bazar",181300,7,2833.333333,4,"less",1,0,0,10,30,30,20,30,30,10,240,20,30,1,6,1955,0,2,18,0,"0","0",0,0,"No","No educaiton",0,0,"all from bazar",0,2,0,0,0,1945,0,6,0,0,0,0,5600
"AD62F401-FFDE-0043-8B65-6191F1947A2D","0",418,"AD62F401-FFDE-0043-8B65-6191F1947A2D",NA,0,"ISLAM",1,1,"all from bazar",207335,7,18500,5,"less",3,0,2,20,30,30,10,20,20,30,240,5,30,3,11,1975,0,4,18,9,"No","Aliya Madrassa",19,16,"No","Aliya Madrassa",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
