"idwife","couple_id","idhusband","sex","age_wife","age_h","MI_geo_proximity","MI_economic_capital","MI_human_capital","NW_total","non_rels","parents_kids","pat_rels","mat_rels","in_laws","far_rels","geo_distance_non_rels","geo_distance_rels","rels_in_NW","rels_in_NW_h","percent_rels_in_NW","percent_rels_in_NW_h","rels_econ_help","rels_econ_help_h","non_rels_econ_help","non_rels_econ_help_h","percent_rels_econ_help","percent_rels_econ_help_h","emot_support_rels","emot_support_rels_h","emot_support_non_rels","emot_support_non_rels_h","percent_rels_emot_support","percent_rels_emot_support_h","childcare_help_rels","childcare_help_non_rels","childcare_help_rels_percent","overall_help_rels","overall_help_rels_h","overall_help_non_rels","overall_help_non_rels_h","percent_overall_help_rels","percent_overall_help_rels_h","religion","religious_knowledge_scale","hh_total","kids_in_hh","familyBariReligiousBefore","familyBariReligiousAfter","religious_change","R_NUM_SIBS","SIBS_DUMMY"
"08C490B8-8D54-A647-853F-31C05F5B472F",262,"77C17294-15F2-A74F-BF4E-467F294E3222",0,38,39,-0.456942686650004,-0.730770104209924,1.13747093386364,13,0,2,2,2,3,2,NA,2.36363636363636,13,10,0.846153846153846,1,4.001,8,0.001,0,0.999750124937531,1,3.001,10,0.001,0,0.99966688874084,1,1.001,0.001,0.999001996007984,10.004,26,0.004,1,0.999600319744205,0.962962962962963,0,0.87303664921466,-2.6348167539267,-0.909685863874345,0,0,0,4,1
"094D6542-1E2E-8948-A91F-61E5CC5A221E",9,NA,0,46,NA,-0.245134280750836,0.499316571189307,1.03127243866082,12,1,4,0,0,1,4,2,2.44444444444444,11,NA,0.818181818181818,NA,8.001,NA,0.001,NA,0.99987503124219,NA,9.001,NA,0.001,NA,0.999888913574761,NA,5.001,0.001,0.999800079968013,25.004,NA,0.004,NA,0.999840051183621,NA,0,0.37303664921466,-0.634816753926701,0.0903141361256545,0,0,0,6,1
"6BA32766-424C-5646-AB74-A08D1C154D87",216,"096A33E1-1B78-0949-AF80-712D443FBC44",1,51,51,-0.0326296079572024,-0.314446414007873,-0.233597290926029,12,0,4,0,0,6,1,NA,2.18181818181818,12,7,0.916666666666667,1,3.001,3,0.001,0,0.99966688874084,1,6.001,1,0.001,1,0.999833388870377,0.5,4.001,0.001,0.999750124937531,17.004,12,0.004,4,0.999764816556914,0.75,0,-2.12696335078534,-2.6348167539267,-0.909685863874345,0,0,0,6,1
"09A1E8E3-FCEA-B448-82D5-66C63802F970",412,"ABDD900B-1AAA-0D4A-B5E2-BE8654C40525",0,55,59,-0.0153793436997329,-0.252961488375734,-0.462254376084517,12,0,5,0,0,2,3,NA,1.5,12,5,0.833333333333333,1,4.001,0,0.001,0,0.999750124937531,NA,3.001,6,0.001,0,0.99966688874084,1,2.001,0.001,0.9995004995005,13.004,13,0.004,2,0.999692496924969,0.866666666666667,0,-2.62696335078534,2.3651832460733,3.09031413612565,0,0,0,7,1
"7119B302-88E6-C442-8165-CE6D842F0331",231,"09C28ADF-3CA5-0548-83C0-0DA603C3E50A",1,72,72,-0.168118076568789,0.123302400831937,-0.725183912598613,9,2,2,1,0,1,0,2,2.25,7,7,0.571428571428571,1,2.001,5,0.001,1,0.9995004995005,0.833333333333333,6.001,7,0.001,2,0.999833388870377,0.777777777777778,4.001,0.001,0.999750124937531,15.004,17,0.004,5,0.999733475479744,0.772727272727273,0,-1.62696335078534,7.3651832460733,5.09031413612565,0,0,0,3,1
"09D5EFC6-947E-D648-B633-169D3A6255F8",660,"E65E11BB-9AA5-A24C-A9C7-64C8F32ED545",0,51,57,-0.515095225612063,0.54073345816029,1.20509262651651,12,1,4,2,0,2,0,2,2.375,11,17,0.727272727272727,1,5.001,2,0.001,0,0.999800079968013,1,5.001,9,0.001,4,0.999800079968013,0.692307692307692,5.001,0.001,0.999800079968013,17.004,17,0.004,4,0.999764816556914,0.80952380952381,0,-2.12696335078534,-3.6348167539267,-1.90968586387435,0,0,0,5,1
"09DED313-18D4-394F-A9C2-50E410FE17F7",513,"C09E7A6A-2AE8-724C-BD76-32ACA6406329",0,38,53,-0.412371612256483,0.0743052220158225,1.2984735340723,11,2,3,0,0,2,1,2.5,2.66666666666667,9,13,0.666666666666667,1,4.001,6,0.001,0,0.999750124937531,1,4.001,9,0.001,0,0.999750124937531,1,3.001,0.001,0.99966688874084,13.004,30,0.004,0,0.999692496924969,1,0,0.37303664921466,-1.6348167539267,0.0903141361256545,1,0,-1,6,1
"0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91",520,"C1D66FB4-90AB-3E4C-9EBD-6D28C43C2BB5",0,59,62,-0.105043922622072,0.893143381478922,-0.646601521515037,11,3,5,0,0,1,0,2,1.16666666666667,8,8,0.75,1,1.001,1,1.001,0,0.5,1,10.001,6,0.001,2,0.999900019996001,0.75,6.001,0.001,0.999833388870377,22.004,17,1.004,5,0.956363004172462,0.772727272727273,0,-3.62696335078534,6.3651832460733,0.0903141361256545,1,1,0,3,1
"0AD825DB-3DD8-8C43-8EDE-CF030F6098EF",10,NA,0,58,NA,-0.290689029145931,-0.955187264480756,-0.470218827109711,9,1,4,0,0,3,0,2,2.57142857142857,8,NA,0.875,NA,4.001,NA,0.001,NA,0.999750124937531,NA,7.001,NA,0.001,NA,0.999857183661811,NA,2.001,0.001,0.9995004995005,14.004,NA,0.004,NA,0.999714448886351,NA,0,-2.62696335078534,-2.6348167539267,-0.909685863874345,0,0,0,2,1
"0ADE1685-655F-754F-A83E-4B72CECB364A",11,NA,0,32,NA,-0.412145839097793,0.744902670353295,0.81084296741061,11,0,4,1,0,1,2,NA,2.5,11,NA,0.727272727272727,NA,3.001,NA,0.001,NA,0.99966688874084,NA,6.001,NA,0.001,NA,0.999833388870377,NA,1.001,0.001,0.999001996007984,12.004,NA,0.004,NA,0.99966688874084,NA,0,1.87303664921466,-1.6348167539267,-1.90968586387435,0,0,0,5,1
