"id","spouse_id","couple_id","idwife","idhusband","sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetMobilePhone","assetSmartphone","assetComputer","assetElectricity","landOwnedFarmAmount","rowname","MI_geo_proximity","MI_economic_capital","MI_human_capital","MI_single_factor1","MI_single_factor2"
"601B2D0D-957F-2144-9E92-A65944BC4CE8","F9FD6FED-9511-CE46-A9F7-D061DC7DA25E",732,"601B2D0D-957F-2144-9E92-A65944BC4CE8","F9FD6FED-9511-CE46-A9F7-D061DC7DA25E",0,5,100,29240,18200,17,0,2,0,0,5.90909090909091,2.90322580645161,3.87096774193548,5.45454545454545,5.71428571428571,2.95081967213115,70,2.65193370165746,16.3636363636364,9.42622950819672,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,65,70,0,0,0,0,0,415,-0.118107761031974,-1.33121254567736,-0.683861345116927,-1.4411507150747,-0.137454054143748
"602183C1-8EF1-704B-B7D6-709026F3026F","93F2C2CE-731C-234B-BF83-8F84A68FDF47",342,"93F2C2CE-731C-234B-BF83-8F84A68FDF47","602183C1-8EF1-704B-B7D6-709026F3026F",1,5,100,123775,10500,17,0,3,0,0,4.0625,5.625,7.5,3.75,7.5,3.91304347826087,210,3.17880794701987,11.25,22.1153846153846,21,5,12,6,1,0,0,4,2,0,0,0,0,900,0,1,1,1,2,30,30,1,0,0,0,0,416,0.218502767033136,-1.04327839471436,1.01606751723475,-0.775921611081097,0.177609810830699
"60B70AFE-89D2-0640-B231-4EDC120FF95E","61293F7A-1A32-4A45-A5D6-804BB6DF4BC0",189,"61293F7A-1A32-4A45-A5D6-804BB6DF4BC0","60B70AFE-89D2-0640-B231-4EDC120FF95E",1,4,100,104025,17000,17,1,4,0,0,5.90909090909091,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,3.91304347826087,6.7741935483871,1.99170124481328,8.57142857142857,14.0243902439024,3,0,10,0,0,0,0,9,2,0,0,0,0,0,1,1,1,3,3,70,70,1,0,0,1,0,417,-0.320900235701649,-1.03300743851096,-0.625682238519017,-1.05197331362253,-0.32322741530663
"6259F3E2-3140-2646-A698-8AEDE26F32E8","C2E25F97-4676-A441-8F91-88960E3D7794",522,"C2E25F97-4676-A441-8F91-88960E3D7794","6259F3E2-3140-2646-A698-8AEDE26F32E8",1,4,75,96005,10500,17,1,4,0,0,5.90909090909091,2.90322580645161,3.87096774193548,1.93548387096774,3.87096774193548,5.80645161290323,10,1.99170124481328,16.3636363636364,18.5483870967742,4,8,4,5,0,1,0,4,4,0,0,0,0,1800,0,1,1,1,0,50,50,1,0,0,0,0,418,-0.303077973892972,-0.98600420792107,0.748849581174003,-0.874771356540671,-0.284537042906937
"62739890-0FA5-324D-BA85-48F3F5626F09","0",194,"62739890-0FA5-324D-BA85-48F3F5626F09",NA,0,5,100,454100,30000,17,2,9,0,2,2.09677419354839,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,8.57142857142857,35,1.99170124481328,30,52.2727272727273,3,5,23,5,1,0,0,2,2,0,2,NA,NA,NA,NA,NA,1,1,0,44,NA,0,1,0,1,18,419,-0.0330920250216081,0.970954319031283,0.544411763319486,1.18744680569234,-0.0274207321721129
"62DF824E-83B8-9E49-A8E0-D04069170AFC","0",196,"62DF824E-83B8-9E49-A8E0-D04069170AFC",NA,0,6,100,216900,40000,5.66666666666667,0,5,0,1,3.0952380952381,3.46153846153846,4.61538461538461,5.45454545454545,5.71428571428571,5.80645161290323,10,1.99170124481328,16.3636363636364,18.5483870967742,2,9,10,5,0,0,0,1,3,0,2,NA,NA,NA,NA,NA,1,3,3,35,NA,1,1,0,1,0,420,-0.225774741274079,0.138696515087888,1.32895488501246,0.40914215714229,-0.207882978649732
"634C8B3B-29AD-4E4D-912E-539B8AFADD9B","0",197,"634C8B3B-29AD-4E4D-912E-539B8AFADD9B",NA,0,6,75,179205,15966.66667,17,1,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,3.75,7.5,3.91304347826087,10,3.96694214876033,11.25,35.9375,8,2,4,5,0,0,0,7,3,0,0,NA,NA,NA,NA,NA,1,1,0,36,NA,1,0,0,1,0,421,-0.114498386104733,-0.548528972147593,0.418869856841104,-0.316906639704327,-0.105407944071642
"635FDFF4-F9C0-BE41-9C93-9919C7A878BC","6A2C7725-772A-FF4D-9D50-6E31391061A4",211,"635FDFF4-F9C0-BE41-9C93-9919C7A878BC","6A2C7725-772A-FF4D-9D50-6E31391061A4",0,6,75,127430,6666.666667,17,1,3,0,0,3.0952380952381,90,1.9672131147541,2.85714285714286,5.71428571428571,8.57142857142857,10,3.17880794701987,8.57142857142857,2.20306513409962,2,2,1,0,0,1,0,3,3,0,0,0,0,900,0,0,0,0,1,34,44,1,0,0,0,26,422,-0.332315889495897,-1.03690004240465,0.219635500454687,-0.892150262294471,-0.317405429403527
"6397F9CF-3235-3945-B019-D3E8959C475A","89A64E11-5E54-454B-8A5E-666258D1A7EB",306,"6397F9CF-3235-3945-B019-D3E8959C475A","89A64E11-5E54-454B-8A5E-666258D1A7EB",0,5,100,108895,9000,5.66666666666667,2,5,0,0,10.8333333333333,90,1.9672131147541,10,3.87096774193548,5.80645161290323,6.7741935483871,2.65193370165746,30,18.5483870967742,3,8,4,0,0,1,1,3,2,0,0,0,0,300,0,0,1,1,0,50,66,1,0,0,1,0,423,-0.0794469207058502,-0.764096839622096,0.485603186626806,-0.716804366375368,-0.0649422067156333
"6410F785-39E9-6E46-843B-ACBC4F3142CF","Dummy_for_194_D98_W_no_metrics_no_quest",626,"Dummy_for_194_D98_W_no_metrics_no_quest","6410F785-39E9-6E46-843B-ACBC4F3142CF",1,6,NA,0,0,17,NA,0,0,0,65,90,120,60,120,180,210,480,180,575,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,1800,0,0,1,0,0,68,68,0,0,0,0,0,424,10.7968183608207,-1.58604776579442,-1.00341774752356,-1.69199219554832,10.7701022524111
